"tract","Name","Median_Rent_2012-16"
17031831000,"Bucktown, Chicago, IL",1617
36081035300,"Queens County, NY",1545
34023008602,"Princeton Meadows, NJ",1521
6019004302,"Fresno, CA",1510
6067009322,"Elk Grove, CA",1505
32003005341,"Highland Hills, Henderson, NV",1496
8014031000,"Broomfield, CO",1492
24003740800,"Gambrills, MD",1485
41051005700,"Downtown, Portland, OR",1473
6037128500,"Sherman Oaks, Los Angeles, CA",1464
9001022000,"Cove - East Side - Shippan, Stamford, CT",1437
53033021906,"West Ridge, Woodinville, WA",1429
12086000307,"North Miami, FL",1428
47125102006,"Clarksville, TN",1416
36081069702,"Queens County, NY",1412
10003011100,"Wilmington, DE",1406
36081004200,"Queens County, NY",1403
36047112000,"Kings County, NY",1403
17031804607,"Elk Grove Village, IL",1386
4013422509,"Heritage Cove At Wind Drift, Gilbert, AZ",1383
8001008508,"Thornton, CO",1378
17063000102,"Minooka, IL",1377
36081060800,"Queens County, NY",1375
12099007767,"Boca Raton, FL",1370
25017316300,"Billerica, MA",1356
47157021745,"Richwood, Memphis, TN",1349
26099262200,"Warren, MI",1338
6089011100,"Girvan, Redding, CA",1338
37183053203,"Bridgewater, Holly Springs, NC",1336
6001400800,"Paradise Park, Oakland, CA",1329
25017382601,"Natick, MA",1317
36081085900,"Queens County, NY",1290
12009065022,"Clements Wood, West Melbourne, FL",1285
6037432902,"Rosemead, CA",1284
48453001738,"Austin, TX",1283
36005024400,"Bronx County, NY",1282
29189218401,"Kirkwood, MO",1281
51041100928,"Charter Colony, Midlothian, VA",1280
6001404102,"Piedmont Avenue, Oakland, CA",1279
17031030500,"Magnolia Glen, Chicago, IL",1267
53061050700,"Edmonds, WA",1263
24013514100,"Eldersburg, MD",1260
36047101400,"Kings County, NY",1257
24003740105,"Severn, MD",1242
12099003600,"Southside, West Palm Beach, FL",1241
8031008386,"Montbello, Denver, CO",1227
34013002202,"Upper Vailsburg, Newark, NJ",1224
17031804611,"Schaumburg, IL",1221
6073001300,"North Park, San Diego, CA",1220
36001000401,"Dunes, Albany, NY",1213
36103158403,"Middle Island, NY",1213
12021010405,"Urban Estates, Naples, FL",1206
42029304405,"Downingtown, PA",1205
39035184105,"Solon, OH",1192
25017311500,"Highlands, Lowell, MA",1186
36047068800,"Kings County, NY",1178
48453001308,"South Congress, Austin, TX",1172
37183053414,"Dogwood Ridge, Apex, NC",1171
11001001803,"Brightwood, Washington, DC",1169
17197881700,"Joliet, IL",1169
51540000201,"Barracks Rugby, Charlottesville, VA",1164
12095014703,"Metro West, Orlando, FL",1159
12095017802,"Apopka, FL",1155
26099258000,"Eastpointe, MI",1149
12099000511,"West Palm Beach, FL",1148
22103040305,"Madisonville, LA",1147
42091204002,"Plymouth Meeting, PA",1142
23031034002,"Wells, ME",1142
24045010603,"Salisbury, MD",1141
42101021100,"Northwest Philadelphia, Philadelphia, PA",1138
6073018801,"Fallbrook, CA",1129
42091202201,"Montgomery County, PA",1128
17043846003,"Lisle, IL",1122
42017105801,"Morrisville, PA",1119
17031807300,"Skokie, IL",1117
18057110511,"Noblesville, IN",1110
12117021608,"Altamonte Springs, FL",1110
6065041001,"Arlanza, Riverside, CA",1108
48303010504,"Lubbock, TX",1105
12099000702,"North Palm Beach, FL",1104
28047002900,"Pass Christian, MS",1096
37183053412,"Lake Marsha, Apex, NC",1096
28059040900,"Ocean Springs, MS",1091
11001007604,"Southeast Washington, Washington, DC",1085
48303001901,"Maedgen Area, Lubbock, TX",1080
6013369001,"San Pablo, CA",1077
9009171500,"Meriden, CT",1073
12099006006,"Boynton Beach, FL",1064
55101001703,"Mount Pleasant, WI",1063
42011010802,"Sinking Spring, PA",1057
55079130100,"Hales Corners, WI",1051
13089022302,"Decatur, GA",1045
12127080202,"Oakview Heights, Ormond Beach, FL",1044
26055550200,"Traverse City, MI",1043
25015822200,"Northampton, MA",1037
55025012700,"Mount Horeb, WI",1030
5007021409,"Rogers, AR",1029
48085031623,"Pitman Creek North, Plano, TX",1018
4013116717,"Ahwatukee Foothills Village, Phoenix, AZ",1008
22071014100,"New Orleans, LA",1007
33011016100,"Milford, Milford, NH",995
37129012007,"Carriage Hills, Wilmington, NC",989
24043010400,"Hagerstown, MD",988
6073004900,"Logan Heights, San Diego, CA",983
