"tract","Name","Individual_Income_Excluding_Spouse_rP_gF_pall"
34003055100,"Tenafly, NJ",43493
41005020403,"Westridge, Lake Oswego, OR",43488
24003730800,"Arnold, MD",43486
34025808701,"Wall Township, NJ",43486
25023501201,"Hingham, MA",43484
6085511200,"Crescent Park, Palo Alto, CA",43480
34023008700,"Cranbury, Cranbury Township, NJ",43475
51059431900,"Burke, VA",43473
24005408704,"Mays Chapel, Lutherville-Timonium, MD",43449
9009348125,"Heritage Village, Southbury, CT",43444
4013105103,"Paradise Valley Village, Paradise Valley, AZ",43439
24031705901,"Bethesda, MD",43434
36081071100,"Queens County, NY",43417
34025801200,"Middletown, NJ",43398
6085507905,"West San Jose, San Jose, CA",43397
24027602303,"Ellicott City, MD",43392
9009160100,"Woodbridge, CT",43390
9001011000,"Old Greenwich, Greenwich, CT",43389
39049009000,"Bullitt Park, Columbus, OH",43389
36059517600,"Glen Head, NY",43382
40109100600,"Central Oklahoma City, Oklahoma City, OK",43376
34027045804,"Mendham, NJ",43376
36081072300,"Queens County, NY",43370
25025000502,"Brighton, Boston, MA",43369
6075045200,"Balboa Hollow, San Francisco, CA",43367
36119014909,"Westchester County, NY",43365
51059491703,"Fairfax, VA",43361
24510120100,"Tuscany - Canterbury, Baltimore, MD",43360
36119008500,"Rye, NY",43359
24031706011,"Rockville, MD",43351
51059470300,"McLean, VA",43344
36081121500,"Queens County, NY",43344
13089020200,"Druid Hills, Atlanta, GA",43341
27123040601,"North Oaks, MN",43340
25017370202,"Watertown, MA",43339
36055007802,"Cobbs Hill, Rochester, NY",43335
36059521200,"Massapequa, NY",43334
34025809502,"Morganville, Marlboro Township, NJ",43325
34031246202,"Wayne, NJ",43318
34025801100,"Middletown, NJ",43316
17031802100,"Glenview, IL",43314
20091053419,"Nottingham Forest South, Overland Park, KS",43308
36081066300,"Queens County, NY",43304
36119002201,"Northeast Yonkers, Yonkers, NY",43302
24031704600,"Bethesda, MD",43298
6075020500,"The Castro, San Francisco, CA",43293
6075030201,"Inner Sunset, San Francisco, CA",43288
9001045200,"Wilton, CT",43283
36059416300,"Atlantic Beach, NY",43282
6081602500,"Westborough, South San Francisco, CA",43278
34003049002,"River Vale, NJ",43277
24031700608,"Rockville, MD",43276
36055012306,"Pittsford, NY",43275
34035053803,"Somerset County, NJ",43270
34003061400,"Wyckoff, NJ",43267
51760050400,"Near West End, Richmond, VA",43255
25017366202,"Cochituate, Wayland, MA",43255
36103158001,"Setauket- East Setauket, NY",43251
34013016500,"Montclair, NJ",43247
42045410000,"Delaware County, PA",43243
42091203207,"Blue Bell, PA",43241
12011042400,"East Fort Lauderdale, Fort Lauderdale, FL",43238
51059491000,"Centreville, VA",43231
9001045300,"Wilton, CT",43231
36103110401,"Huntington, NY",43231
17031411200,"Hyde Park, Chicago, IL",43230
10003001300,"Highlands, Wilmington, DE",43230
36119014908,"Yorktown Heights, NY",43228
25017360200,"Lincoln, MA",43227
51059470600,"McLean, VA",43223
34035052601,"Far Hills, NJ",43220
36119006802,"New Rochelle, NY",43217
24031706009,"Potomac, MD",43217
